session,trialno,difficulty,accuracy,sideChosen,durExplorationPeriod,durDecisionPeriod,durPeriodTotal,SwitchesExplorationPeriod,SwitchesDecisionPeriod,NbSwitches,FixNbExplorationPeriod,FixNbDecisionPeriod,FixNb,FixNbInTDecision,FixNbInLExploration,FixNbInRExploration,FixNbBottomExploration,LookDurInTDecision,LookDurInLExploration,LookDurInRExploration,LookDurBottomExploration,prior_accuracy
curE017a,34,Hard,0.0,left,2334,1566,3900,1,0,1,7,3,10,2,4,0,4,1870,1026,0,1026,0.0
curE017a,35,Medium,1.0,left,3776,2534,6310,1,0,1,10,3,13,1,5,3,8,1382,1668,632,2300,0.0
curE017a,40,Easy,0.0,right,6480,2116,8596,3,1,4,11,5,16,3,4,6,10,2082,1634,1766,3400,
curE017a,41,Easy,1.0,left,4266,1566,5832,1,1,2,9,4,13,3,0,5,5,1490,0,2174,2174,0.0
curE017a,42,Easy,1.0,right,15928,2666,18594,4,0,4,19,4,23,3,3,15,18,1964,1092,6952,8044,1.0
curE017a,43,Medium,1.0,left,8860,1732,10592,2,1,3,21,3,24,2,15,3,18,1156,5164,1108,6272,1.0
curE017a,46,Medium,0.0,right,6564,3266,9830,1,0,1,7,7,14,6,6,0,6,3094,2068,0,2068,
curE017a,47,Medium,1.0,right,3182,2034,5216,1,0,1,4,5,9,4,0,3,3,2026,0,1122,1122,0.0
curE017a,48,Medium,1.0,right,3782,6264,10046,1,0,1,4,3,7,2,2,0,2,872,298,0,298,1.0
curE017a,49,Hard,1.0,left,6652,7806,14458,1,0,1,9,13,22,12,7,0,7,5536,3074,0,3074,1.0
curE018a,8,Easy,0.0,right,8112,1016,9128,1,1,2,12,3,15,1,0,11,11,976,0,5148,5148,
curE018a,9,Easy,0.0,right,3214,1184,4398,2,1,3,9,3,12,1,2,6,8,1136,644,1704,2348,0.0
curE018a,10,Easy,1.0,left,3648,3482,7130,2,2,4,7,6,13,3,3,3,6,2948,2116,846,2962,0.0
curE018a,11,Easy,0.0,left,3980,2184,6164,2,0,2,11,6,17,5,3,6,9,2132,1080,1956,3036,1.0
curE018a,12,Easy,1.0,right,4632,1582,6214,3,0,3,12,4,16,3,4,7,11,1564,2206,1562,3768,0.0
curE018a,13,Easy,1.0,right,4894,1284,6178,3,0,3,11,3,14,2,5,4,9,1976,1580,1660,3240,1.0
curE018a,14,Medium,0.0,right,8998,1566,10564,2,0,2,12,4,16,3,2,8,10,1212,998,4242,5240,1.0
curE018a,19,Medium,0.0,left,2334,1698,4032,1,0,1,7,4,11,3,0,6,6,2026,0,1442,1442,
curE018a,20,Medium,1.0,left,4198,1716,5914,2,0,2,10,5,15,4,3,6,9,1718,1392,2028,3420,0.0
curE018a,21,Medium,1.0,left,2332,2232,4564,2,1,3,5,6,11,4,2,1,3,2462,1012,154,1166,1.0
curE018a,23,Hard,0.0,right,2930,1184,4114,2,0,2,8,3,11,2,2,5,7,1102,596,1498,2094,
curE018a,24,Hard,1.0,right,2332,5532,7864,1,3,4,6,8,14,4,4,0,4,2578,1318,0,1318,0.0
curE018a,25,Hard,0.0,left,8046,1268,9314,3,0,3,17,3,20,2,6,9,15,730,1786,4280,6066,1.0
curE018a,26,Hard,0.0,left,3632,2798,6430,2,0,2,8,8,16,7,4,3,7,2790,1672,1314,2986,0.0
curE018a,27,Medium,1.0,left,2346,3134,5480,2,0,2,7,7,14,6,3,3,6,2754,720,974,1694,0.0
curE018a,31,Medium,0.0,left,4882,2016,6898,1,0,1,6,4,10,2,1,4,5,1732,590,1848,2438,
curE018a,32,Medium,1.0,right,12078,1366,13444,4,0,4,29,3,32,2,11,15,26,1340,3362,5658,9020,0.0
curE018a,33,Medium,1.0,left,3632,1382,5014,2,0,2,7,4,11,3,2,4,6,1370,472,2400,2872,1.0
curE018a,34,Hard,1.0,left,4494,3384,7878,3,0,3,11,8,19,7,4,5,9,3196,1102,2312,3414,1.0
curE018a,35,Hard,1.0,right,8464,4416,12880,3,1,4,17,10,27,8,11,5,16,3986,4828,2584,7412,1.0
curE018a,36,xHard,1.0,left,3882,8212,12094,2,0,2,9,6,15,5,7,1,8,2782,2280,180,2460,1.0
curE018a,38,xHard,0.0,left,6082,1598,7680,2,1,3,8,5,13,3,2,5,7,1552,522,2766,3288,
curE018a,39,Hard,0.0,left,8064,2030,10094,0,0,0,3,5,8,4,0,0,0,1486,0,0,0,0.0
curE018a,40,Hard,0.0,right,2830,566,3396,2,1,3,8,1,9,0,4,2,6,478,1282,584,1866,0.0
curE018a,42,Medium,1.0,left,3064,1660,4724,2,1,3,10,6,16,4,5,3,8,1376,1364,994,2358,
curE018a,43,Hard,1.0,right,3762,2584,6346,2,0,2,12,6,18,5,7,4,11,2582,1974,1116,3090,1.0
curE018a,44,Hard,1.0,right,4380,582,4962,4,1,5,9,2,11,0,3,4,7,822,1224,1806,3030,1.0
curE018a,47,xHard,1.0,right,2666,1666,4332,1,0,1,7,2,9,2,2,3,5,1136,716,1194,1910,
curE018a,48,xHard,1.0,left,2332,1916,4248,1,0,1,5,3,8,2,0,1,1,1190,0,248,248,1.0
curE018a,50,xHard,1.0,left,6114,2200,8314,2,0,2,11,3,14,2,6,3,9,1714,1748,1052,2800,
curE018a,51,xHard,0.0,left,3566,2100,5666,2,0,2,6,4,10,3,3,1,4,1260,730,180,910,1.0
curE019a,7,Easy,0.0,left,2798,584,3382,2,1,3,6,2,8,0,3,2,5,530,1122,824,1946,
curE019a,8,Easy,0.0,right,6066,1648,7714,2,0,2,14,4,18,3,6,7,13,1174,2274,2468,4742,0.0
curE019a,9,Easy,0.0,right,4978,4266,9244,3,0,3,10,3,13,2,4,4,8,1126,2388,1050,3438,0.0
curE019a,10,Easy,1.0,right,3866,2332,6198,1,0,1,10,5,15,4,4,5,9,2334,1408,1686,3094,0.0
curE019a,11,Easy,1.0,right,4298,1982,6280,2,0,2,9,4,13,3,2,5,7,2406,864,1934,2798,1.0
curE019a,13,Medium,1.0,left,8162,3816,11978,6,0,6,16,8,24,7,7,7,14,3732,2590,2500,5090,
curE019a,14,Medium,0.0,left,16894,4732,21626,6,0,6,27,8,35,7,6,21,27,4202,2684,7250,9934,1.0
curE019a,15,Medium,1.0,right,5164,4716,9880,3,1,4,14,3,17,2,4,9,13,1390,1148,3128,4276,0.0
curE019a,17,Medium,1.0,right,11376,2332,13708,3,0,3,15,6,21,5,7,4,11,2798,3034,1690,4724,
curE019a,18,Medium,0.0,left,7430,2116,9546,3,1,4,20,5,25,3,13,5,18,1684,3616,1642,5258,1.0
